t_sec,VehSpd_kph,YawRate_dps,SteerAngle_deg,TargetRange_m,LeadRelVel_mps,MockAccelCmd,MockBrakeCmd
2.55,76.166,2.727,12.873,58.239,0.053,0.241,0.0
2.6,76.236,2.76,13.068,58.315,0.04,0.245,0.0
2.65,76.306,2.792,13.26,58.391,0.026,0.249,0.0
2.7,76.374,2.822,13.449,58.466,0.013,0.252,0.0
2.75,76.442,2.852,13.634,58.541,-0.001,0.256,0.0
2.8,76.51,2.88,13.816,58.615,-0.015,0.26,0.0
2.85,76.576,2.908,13.994,58.689,-0.029,0.264,0.0
2.9,76.642,2.934,14.17,58.763,-0.044,0.268,0.0
2.95,76.707,2.959,14.341,58.836,-0.058,0.272,0.0
3.0,76.771,2.983,14.509,58.909,-0.073,0.276,0.0
3.05,76.835,3.005,14.674,58.981,-0.088,0.28,0.0
3.1,76.898,3.027,14.835,59.053,-0.104,0.284,0.0
3.15,76.96,3.047,14.993,59.125,-0.119,0.288,0.0
3.2,77.021,3.066,15.146,59.195,-0.135,0.292,0.0
3.25,77.082,3.083,15.297,59.266,-0.15,0.296,0.0
3.3,77.142,3.1,15.443,59.336,-0.166,0.3,0.0
3.35,77.201,3.115,15.586,59.405,-0.183,0.304,0.0
3.4,77.259,3.129,15.724,59.474,-0.199,0.308,0.0
3.45,77.316,3.142,15.859,59.543,-0.215,0.312,0.0
3.5,77.373,3.153,15.99,59.611,-0.232,0.316,0.0
3.55,77.428,3.164,16.118,59.678,-0.249,0.32,0.0
3.6,77.483,3.173,16.241,59.745,-0.266,0.324,0.0
3.65,77.537,3.18,16.36,59.811,-0.283,0.328,0.0
3.7,77.59,3.187,16.475,59.877,-0.3,0.332,0.0
3.75,77.643,3.192,16.587,59.942,-0.318,0.336,0.0
3.8,77.694,3.196,16.694,60.007,-0.336,0.34,0.0
3.85,77.744,3.198,16.797,60.071,-0.353,0.345,0.0
3.9,77.794,3.2,16.896,60.135,-0.371,0.349,0.0
3.95,77.843,3.2,16.991,60.198,-0.389,0.353,0.0
4.0,77.89,3.199,17.082,60.26,-0.408,0.357,0.0
4.05,77.937,3.196,17.168,60.322,-0.426,0.361,0.0
4.1,77.983,3.192,17.251,60.383,-0.444,0.365,0.0
4.15,78.028,3.187,17.329,60.444,-0.463,0.369,0.0
4.2,78.072,3.181,17.403,60.504,-0.482,0.373,0.0
4.25,78.115,3.173,17.473,60.564,-0.501,0.377,0.0
4.3,78.157,3.164,17.538,60.623,-0.52,0.381,0.0
4.35,78.198,3.154,17.599,60.681,-0.539,0.385,0.0
4.4,78.238,3.143,17.656,60.739,-0.558,0.389,0.0
4.45,78.278,3.13,17.709,60.796,-0.577,0.393,0.0
4.5,78.316,3.116,17.757,60.852,-0.597,0.397,0.0
4.55,78.353,3.101,17.801,60.908,-0.616,0.401,0.0
4.6,78.389,3.085,17.84,60.963,-0.636,0.405,0.0
4.65,78.425,3.067,17.876,61.018,-0.656,0.409,0.0
4.7,78.459,3.048,17.906,61.071,-0.676,0.413,0.0
4.75,78.492,3.028,17.933,61.125,-0.695,0.417,0.0
4.8,78.524,3.007,17.955,61.177,-0.716,0.421,0.0
4.85,78.555,2.984,17.973,61.229,-0.736,0.425,0.0
4.9,78.586,2.961,17.986,61.28,-0.756,0.429,0.0
4.95,78.615,2.936,17.995,61.331,-0.776,0.433,0.0
5.0,78.643,2.91,17.999,61.381,-0.796,0.437,0.0
5.05,78.67,2.883,18.0,61.43,-0.817,0.441,0.0
5.1,78.696,2.854,17.995,61.478,-0.837,0.445,0.0
5.15,78.721,2.825,17.987,61.526,-0.858,0.449,0.0
5.2,78.745,2.794,17.974,61.573,-0.878,0.453,0.0
5.25,78.768,2.762,17.956,61.62,-0.899,0.456,0.0
5.3,78.79,2.729,17.934,61.665,-0.92,0.46,0.0
5.35,78.81,2.695,17.908,61.71,-0.941,0.464,0.0
5.4,78.83,2.66,17.878,61.755,-0.961,0.468,0.0
5.45,78.849,2.624,17.843,61.798,-0.982,0.472,0.0
5.5,78.866,2.587,17.803,61.841,-1.003,0.476,0.0
5.55,78.883,2.549,17.76,61.883,-1.024,0.479,0.0
5.6,78.898,2.51,17.712,61.925,-1.045,0.483,0.0
5.65,78.912,2.47,17.659,61.965,-1.066,0.487,0.0
5.7,78.926,2.428,17.603,62.005,-1.087,0.491,0.0
5.75,78.938,2.386,17.542,62.044,-1.108,0.494,0.0
5.8,78.949,2.343,17.477,62.083,-1.129,0.498,0.0
5.85,78.959,2.299,17.407,62.12,-1.15,0.502,0.0
5.9,78.968,2.254,17.334,62.157,-1.171,0.505,0.0
5.95,78.976,2.208,17.256,62.194,-1.192,0.509,0.0
6.0,78.982,2.161,17.174,62.229,-1.213,0.512,0.0
6.05,78.988,2.114,17.087,62.264,-1.234,0.516,0.0
6.1,78.993,2.065,16.997,62.298,-1.255,0.52,0.0
6.15,78.996,2.016,16.902,62.331,-1.276,0.523,0.0
6.2,78.998,1.966,16.803,62.363,-1.297,0.527,0.0
6.25,79.0,1.915,16.7,62.395,-1.318,0.53,0.0
6.3,79.0,1.863,16.593,62.425,-1.339,0.533,0.0
6.35,78.999,1.811,16.482,62.455,-1.36,0.537,0.0
6.4,78.997,1.758,16.367,62.485,-1.381,0.54,0.0
6.45,78.994,1.704,16.248,62.513,-1.402,0.544,0.0
6.5,78.99,1.65,16.125,62.541,-1.423,0.547,0.0
6.55,78.984,1.594,15.998,62.568,-1.444,0.55,0.0
6.6,78.978,1.539,15.868,62.594,-1.464,0.554,0.0
6.65,78.971,1.482,15.733,62.619,-1.485,0.557,0.0
6.7,78.962,1.425,15.594,62.644,-1.506,0.56,0.0
6.75,78.952,1.368,15.452,62.667,-1.527,0.563,0.0
6.8,78.942,1.309,15.306,62.69,-1.547,0.566,0.0
6.85,78.93,1.251,15.156,62.712,-1.568,0.569,0.0
6.9,78.917,1.192,15.002,62.734,-1.588,0.573,0.0
6.95,78.903,1.132,14.845,62.754,-1.608,0.576,0.0
7.0,78.888,1.072,14.684,62.774,-1.629,0.579,0.0
7.05,78.872,1.011,14.52,62.793,-1.649,0.582,0.0
7.1,78.855,0.951,14.352,62.811,-1.669,0.585,0.0
7.15,78.836,0.889,14.18,62.828,-1.689,0.588,0.0
7.2,78.817,0.828,14.005,62.844,-1.709,0.59,0.0
7.25,78.797,0.766,13.827,62.86,-1.729,0.593,0.0
7.3,78.775,0.703,13.645,62.875,-1.749,0.596,0.0
7.35,78.753,0.641,13.46,62.889,-1.769,0.599,0.0
7.4,78.729,0.578,13.272,62.902,-1.788,0.602,0.0
7.45,78.704,0.515,13.08,62.914,-1.808,0.604,0.0
7.5,78.679,0.452,12.885,62.926,-1.827,0.607,0.0
7.55,78.652,0.388,12.687,62.936,-1.847,0.61,0.0
7.6,78.624,0.325,12.486,62.946,-1.866,0.612,0.0
7.65,78.595,0.261,12.282,62.955,-1.885,0.615,0.0
7.7,78.565,0.197,12.075,62.964,-1.904,0.617,0.0
7.75,78.535,0.133,11.865,62.971,-1.923,0.62,0.0
7.8,78.503,0.069,11.652,62.977,-1.941,0.622,0.0
7.85,78.47,0.005,11.436,62.983,-1.96,0.625,0.0
7.9,78.436,-0.059,11.218,62.988,-1.979,0.627,0.0
7.95,78.401,-0.123,10.996,62.992,-1.997,0.629,0.0
8.0,78.365,-0.187,10.772,62.995,-2.015,0.632,0.0
8.05,78.328,-0.251,10.546,62.998,-2.033,0.634,0.0
8.1,78.29,-0.314,10.317,62.999,-2.051,0.636,0.0
8.15,78.251,-0.378,10.085,63.0,-2.069,0.638,0.0
8.2,78.212,-0.441,9.851,63.0,-2.086,0.64,0.0
8.25,78.171,-0.505,9.614,62.999,-2.104,0.642,0.0
8.3,78.129,-0.568,9.375,62.997,-2.121,0.644,0.0
8.35,78.086,-0.631,9.134,62.994,-2.138,0.646,0.0
8.4,78.042,-0.693,8.891,62.991,-2.155,0.648,0.0
8.45,77.998,-0.756,8.645,62.987,-2.172,0.65,0.0
8.5,77.952,-0.818,8.397,62.982,-2.189,0.652,0.0
8.55,77.906,-0.879,8.147,62.976,-2.205,0.654,0.0
8.6,77.858,-0.941,7.896,62.969,-2.221,0.656,0.0
8.65,77.81,-1.002,7.642,62.961,-2.237,0.657,0.0
8.7,77.761,-1.062,7.386,62.953,-2.253,0.659,0.0
8.75,77.711,-1.123,7.129,62.944,-2.269,0.661,0.0
8.8,77.659,-1.182,6.87,62.934,-2.285,0.662,0.0
8.85,77.608,-1.241,6.609,62.923,-2.3,0.664,0.0
8.9,77.555,-1.3,6.347,62.911,-2.315,0.665,0.0
8.95,77.501,-1.358,6.083,62.898,-2.33,0.667,0.0
9.0,77.447,-1.416,5.817,62.885,-2.345,0.668,0.0
9.05,77.391,-1.473,5.55,62.871,-2.36,0.669,0.0
9.1,77.335,-1.53,5.282,62.856,-2.374,0.671,0.0
9.15,77.278,-1.586,5.013,62.84,-2.388,0.672,0.0
9.2,77.22,-1.641,4.742,62.823,-2.402,0.673,0.0
9.25,77.161,-1.695,4.47,62.806,-2.416,0.674,0.0
9.3,77.102,-1.749,4.197,62.788,-2.43,0.675,0.0
9.35,77.041,-1.803,3.923,62.769,-2.443,0.676,0.0
9.4,76.98,-1.855,3.648,62.749,-2.456,0.677,0.0
9.45,76.918,-1.907,3.372,62.728,-2.469,0.678,0.0
9.5,76.856,-1.958,3.096,62.706,-2.482,0.679,0.0
9.55,76.792,-2.008,2.818,62.684,-2.494,0.68,0.0
9.6,76.728,-2.058,2.54,62.661,-2.507,0.681,0.0
9.65,76.663,-2.106,2.261,62.637,-2.519,0.681,0.0
9.7,76.598,-2.154,1.982,62.612,-2.53,0.682,0.0
9.75,76.531,-2.201,1.702,62.587,-2.542,0.683,0.0
9.8,76.464,-2.247,1.422,62.56,-2.553,0.683,0.0
9.85,76.397,-2.292,1.142,62.533,-2.564,0.684,0.0
9.9,76.328,-2.336,0.861,62.505,-2.575,0.684,0.0
9.95,76.259,-2.379,0.58,62.477,-2.586,0.685,0.0
10.0,76.189,-2.422,0.299,62.447,-2.596,0.685,0.0
10.05,76.119,-2.463,0.017,62.417,-2.607,0.685,0.0
10.1,76.048,-2.503,-0.264,62.386,-2.616,0.686,0.0
10.15,75.976,-2.543,-0.545,62.354,-2.626,0.686,0.0
10.2,75.904,-2.581,-0.826,62.322,-2.636,0.686,0.0
10.25,75.831,-2.618,-1.107,62.288,-2.645,0.686,0.0
10.3,75.757,-2.655,-1.387,62.254,-2.654,0.686,0.0
10.35,75.683,-2.69,-1.668,62.219,-2.662,0.686,0.0
10.4,75.609,-2.724,-1.948,62.184,-2.671,0.686,0.0
10.45,75.533,-2.757,-2.227,62.147,-2.679,0.686,0.0
10.5,75.457,-2.789,-2.506,62.11,-2.687,0.686,0.0
10.55,75.381,-2.82,-2.784,62.072,-2.694,0.686,0.0
10.6,75.304,-2.85,-3.061,62.034,-2.702,0.685,0.0
10.65,75.227,-2.878,-3.338,61.994,-2.709,0.685,0.0
10.7,75.149,-2.905,-3.614,61.954,-2.716,0.685,0.0
10.75,75.071,-2.932,-3.889,61.913,-2.722,0.684,0.0
10.8,74.992,-2.957,-4.163,61.872,-2.729,0.684,0.0
10.85,74.912,-2.981,-4.436,61.829,-2.735,0.683,0.0
10.9,74.833,-3.003,-4.708,61.786,-2.741,0.682,0.0
10.95,74.752,-3.025,-4.979,61.743,-2.746,0.682,0.0
11.0,74.672,-3.045,-5.249,61.698,-2.751,0.681,0.0
11.05,74.591,-3.064,-5.517,61.653,-2.757,0.68,0.0
11.1,74.509,-3.082,-5.784,61.607,-2.761,0.68,0.0
11.15,74.427,-3.099,-6.05,61.56,-2.766,0.679,0.0
11.2,74.345,-3.114,-6.314,61.513,-2.77,0.678,0.0
11.25,74.262,-3.128,-6.577,61.465,-2.774,0.677,0.0
11.3,74.179,-3.141,-6.838,61.416,-2.777,0.676,0.0
11.35,74.096,-3.153,-7.097,61.367,-2.781,0.675,0.0
11.4,74.012,-3.163,-7.355,61.317,-2.784,0.674,0.0
11.45,73.928,-3.172,-7.61,61.266,-2.787,0.672,0.0
11.5,73.844,-3.18,-7.864,61.215,-2.789,0.671,0.0
11.55,73.76,-3.186,-8.116,61.163,-2.792,0.67,0.0
11.6,73.675,-3.192,-8.366,61.11,-2.794,0.669,0.0
11.65,73.59,-3.196,-8.614,61.057,-2.795,0.667,0.0
11.7,73.504,-3.198,-8.86,61.003,-2.797,0.666,0.0
11.75,73.419,-3.2,-9.104,60.948,-2.798,0.664,0.0
11.8,73.333,-3.2,-9.345,60.893,-2.799,0.663,0.0
11.85,73.247,-3.199,-9.585,60.837,-2.8,0.661,0.0
11.9,73.161,-3.196,-9.822,60.78,-2.8,0.659,0.0
11.95,73.074,-3.193,-10.056,60.723,-2.8,0.658,0.0
12.0,72.988,-3.188,-10.288,60.665,-2.8,0.656,0.0
12.05,72.901,-3.181,-10.518,60.607,-2.799,0.654,0.0
12.1,72.814,-3.174,-10.745,60.547,-2.799,0.652,0.0
12.15,72.727,-3.165,-10.969,60.488,-2.798,0.65,0.0
12.2,72.64,-3.155,-11.191,60.428,-2.796,0.648,0.0
12.25,72.553,-3.144,-11.409,60.367,-2.795,0.646,0.0
12.3,72.466,-3.131,-11.626,60.305,-2.793,0.644,0.0
12.35,72.378,-3.117,-11.839,60.243,-2.791,0.642,0.0
12.4,72.291,-3.102,-12.049,60.181,-2.788,0.64,0.0
12.45,72.204,-3.086,-12.257,60.117,-2.786,0.638,0.0
12.5,72.116,-3.069,-12.461,60.054,-2.783,0.636,0.0
12.55,72.029,-3.05,-12.663,59.989,-2.779,0.633,0.0
12.6,71.941,-3.03,-12.861,59.924,-2.776,0.631,0.0
12.65,71.854,-3.009,-13.056,59.859,-2.772,0.628,0.0
12.7,71.766,-2.986,-13.248,59.793,-2.768,0.626,0.0
12.75,71.679,-2.963,-13.437,59.727,-2.764,0.623,0.0
12.8,71.591,-2.938,-13.622,59.66,-2.759,0.621,0.0
12.85,71.504,-2.912,-13.805,59.592,-2.754,0.618,0.0
12.9,71.417,-2.885,-13.983,59.524,-2.749,0.616,0.0
12.95,71.33,-2.856,-14.159,59.455,-2.744,0.613,0.0
13.0,71.243,-2.827,-14.331,59.386,-2.738,0.61,0.0
13.05,71.156,-2.797,-14.499,59.317,-2.732,0.607,0.0
13.1,71.069,-2.765,-14.664,59.247,-2.726,0.604,0.0
13.15,70.982,-2.732,-14.825,59.176,-2.719,0.602,0.0
13.2,70.896,-2.698,-14.983,59.105,-2.713,0.599,0.0
13.25,70.809,-2.663,-15.137,59.034,-2.706,0.596,0.0
13.3,70.723,-2.627,-15.287,58.962,-2.698,0.593,0.0
13.35,70.637,-2.59,-15.434,58.889,-2.691,0.59,0.0
13.4,70.552,-2.552,-15.577,58.816,-2.683,0.586,0.0
13.45,70.466,-2.513,-15.716,58.743,-2.675,0.583,0.0
13.5,70.381,-2.473,-15.851,58.669,-2.667,0.58,0.0
13.55,70.296,-2.432,-15.982,58.595,-2.658,0.577,0.0
13.6,70.211,-2.39,-16.11,58.52,-2.649,0.574,0.0
13.65,70.127,-2.347,-16.233,58.445,-2.64,0.57,0.0
13.7,70.043,-2.303,-16.353,58.37,-2.631,0.567,0.0
13.75,69.959,-2.258,-16.468,58.294,-2.622,0.563,0.0
13.8,69.875,-2.212,-16.58,58.218,-2.612,0.56,0.0
13.85,69.792,-2.165,-16.687,58.141,-2.602,0.556,0.0
13.9,69.709,-2.118,-16.791,58.064,-2.591,0.553,0.0
13.95,69.627,-2.069,-16.89,57.987,-2.581,0.549,0.0
14.0,69.545,-2.02,-16.985,57.909,-2.57,0.546,0.0
14.05,69.463,-1.97,-17.076,57.831,-2.559,0.542,0.0
14.1,69.381,-1.919,-17.163,57.752,-2.548,0.538,0.0
14.15,69.3,-1.868,-17.246,57.673,-2.537,0.535,0.0
14.2,69.22,-1.815,-17.324,57.594,-2.525,0.531,0.0
14.25,69.14,-1.762,-17.398,57.515,-2.513,0.527,0.0
14.3,69.06,-1.708,-17.468,57.435,-2.501,0.523,0.0
14.35,68.981,-1.654,-17.534,57.355,-2.488,0.519,0.0
14.4,68.902,-1.599,-17.596,57.274,-2.476,0.515,0.0
14.45,68.824,-1.543,-17.653,57.194,-2.463,0.511,0.0
14.5,68.746,-1.487,-17.706,57.113,-2.45,0.507,0.0
14.55,68.669,-1.43,-17.754,57.031,-2.437,0.503,0.0
14.6,68.592,-1.372,-17.798,56.95,-2.423,0.499,0.0
14.65,68.516,-1.314,-17.838,56.868,-2.41,0.495,0.0
14.7,68.441,-1.256,-17.873,56.786,-2.396,0.491,0.0
14.75,68.366,-1.196,-17.905,56.703,-2.382,0.487,0.0
14.8,68.291,-1.137,-17.931,56.62,-2.367,0.483,0.0
14.85,68.217,-1.077,-17.954,56.538,-2.353,0.478,0.0
14.9,68.144,-1.016,-17.972,56.454,-2.338,0.474,0.0
14.95,68.071,-0.955,-17.985,56.371,-2.323,0.47,0.0
